INFO:2022-05-02 14:03:49,951:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:03:49,951:Error en búsqueda de metadatos
INFO:2022-05-02 14:05:49,889:Búsqueda de imagenes iniciada
INFO:2022-05-02 14:06:08,988:Búsqueda de imagenes finalizada
INFO:2022-05-02 14:08:37,794:Codificacion de imagen iniciada
INFO:2022-05-02 14:08:37,796:Codificacion de imagen finalizada
INFO:2022-05-02 14:09:41,548:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:09:41,548:Error en búsqueda de metadatos
INFO:2022-05-02 14:09:59,811:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:09:59,811:Error en búsqueda de metadatos
INFO:2022-05-02 14:10:04,138:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:10:04,138:Error en búsqueda de metadatos
INFO:2022-05-02 14:10:09,104:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:10:09,120:Error en búsqueda de metadatos
INFO:2022-05-02 14:10:14,434:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:10:14,449:Error en búsqueda de metadatos
INFO:2022-05-02 14:10:18,561:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:10:18,565:Error en búsqueda de metadatos
INFO:2022-05-02 14:10:22,569:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:10:22,585:Error en búsqueda de metadatos
INFO:2022-05-02 14:10:26,648:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:10:26,648:Error en búsqueda de metadatos
INFO:2022-05-02 14:10:30,119:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:10:30,119:Error en búsqueda de metadatos
INFO:2022-05-02 14:10:33,967:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:10:33,967:Error en búsqueda de metadatos
INFO:2022-05-02 14:10:41,170:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:10:41,170:Error en búsqueda de metadatos
INFO:2022-05-02 14:15:35,408:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:15:35,412:Error en búsqueda de metadatos
INFO:2022-05-02 14:17:18,921:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:17:18,924:Error en búsqueda de metadatos
WARNING:2022-05-02 14:25:52,749:Error en búsqueda de metadatos
INFO:2022-05-02 14:31:00,018:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:31:00,019:Error en búsqueda de metadatos
INFO:2022-05-02 14:32:26,667:Codificacion de imagen iniciada
INFO:2022-05-02 14:32:26,679:Codificacion de imagen finalizada
INFO:2022-05-02 14:33:06,152:Codificacion de imagen iniciada
INFO:2022-05-02 14:33:06,165:Codificacion de imagen finalizada
INFO:2022-05-02 14:34:21,142:Codificacion de imagen iniciada
INFO:2022-05-02 14:34:21,158:Codificacion de imagen finalizada
INFO:2022-05-02 14:34:43,990:Codificacion de imagen iniciada
INFO:2022-05-02 14:34:44,005:Codificacion de imagen finalizada
INFO:2022-05-02 14:43:07,684:Búsqueda de metadatos iniciada
WARNING:2022-05-02 14:43:07,690:Error en búsqueda de metadatos
INFO:2022-05-02 18:02:30,831:Búsqueda de puertos iniciada
WARNING:2022-05-02 18:02:31,917:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:32,747:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:33,346:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:33,623:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:34,244:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:34,524:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:35,123:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:35,735:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:36,353:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:36,629:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:36,909:Error en búsqueda de puertos
WARNING:2022-05-02 18:02:37,506:Error en búsqueda de puertos
INFO:2022-05-02 18:02:38,205:Búsqueda de puertos terminada
INFO:2022-05-02 18:03:39,537:Búsqueda de puertos iniciada
INFO:2022-05-02 18:03:42,757:Búsqueda de puertos terminada
INFO:2022-05-02 18:06:11,398:Búsqueda de puertos iniciada
WARNING:2022-05-02 18:06:11,515:Error en búsqueda de puertos
WARNING:2022-05-02 18:06:11,618:Error en búsqueda de puertos
WARNING:2022-05-02 18:06:11,725:Error en búsqueda de puertos
WARNING:2022-05-02 18:06:11,830:Error en búsqueda de puertos
WARNING:2022-05-02 18:06:11,933:Error en búsqueda de puertos
WARNING:2022-05-02 18:06:12,036:Error en búsqueda de puertos
WARNING:2022-05-02 18:06:12,140:Error en búsqueda de puertos
WARNING:2022-05-02 18:06:12,245:Error en búsqueda de puertos
WARNING:2022-05-02 18:06:12,348:Error en búsqueda de puertos
WARNING:2022-05-02 18:06:12,456:Error en búsqueda de puertos
INFO:2022-05-02 18:06:12,456:Búsqueda de puertos terminada
INFO:2022-05-02 18:06:58,792:Búsqueda de puertos iniciada
INFO:2022-05-02 18:07:02,086:Búsqueda de puertos terminada
INFO:2022-05-02 18:12:47,864:Búsqueda de puertos iniciada
INFO:2022-05-02 18:12:48,519:Búsqueda de puertos terminada
INFO:2022-05-02 18:17:19,238:Búsqueda de puertos iniciada
WARNING:2022-05-02 18:17:19,524:Error en búsqueda de puertos
INFO:2022-05-02 18:17:19,524:Búsqueda de puertos terminada
INFO:2022-05-02 18:19:42,764:Búsqueda de puertos iniciada
WARNING:2022-05-02 18:19:43,033:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:43,296:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:43,566:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:43,835:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:44,098:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:44,367:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:44,637:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:45,031:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:45,301:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:45,539:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:45,804:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:46,072:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:46,341:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:46,604:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:46,874:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:47,143:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:47,406:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:47,676:Error en búsqueda de puertos
WARNING:2022-05-02 18:19:47,945:Error en búsqueda de puertos
INFO:2022-05-02 18:19:48,261:Búsqueda de puertos terminada
INFO:2022-05-02 18:23:21,076:Búsqueda de puertos iniciada
WARNING:2022-05-02 18:23:21,366:Error en búsqueda de puertos
WARNING:2022-05-02 18:23:21,637:Error en búsqueda de puertos
INFO:2022-05-02 18:23:21,953:Búsqueda de puertos terminada
INFO:2022-05-02 18:25:07,201:Búsqueda de puertos iniciada
WARNING:2022-05-02 18:25:07,468:Error en búsqueda de puertos
WARNING:2022-05-02 18:25:07,743:Error en búsqueda de puertos
INFO:2022-05-02 18:25:08,058:Búsqueda de puertos terminada
INFO:2022-05-02 18:28:34,978:Búsqueda de puertos iniciada
WARNING:2022-05-02 18:28:35,596:Error en búsqueda de puertos
WARNING:2022-05-02 18:28:35,865:Error en búsqueda de puertos
INFO:2022-05-02 18:28:36,181:Búsqueda de puertos terminada
INFO:2022-05-02 18:40:21,318:Búsqueda de puertos iniciada
WARNING:2022-05-02 18:40:21,920:Error en búsqueda de puertos
WARNING:2022-05-02 18:40:22,189:Error en búsqueda de puertos
INFO:2022-05-02 18:40:22,506:Búsqueda de puertos terminada
INFO:2022-05-02 18:41:17,798:Búsqueda de puertos iniciada
INFO:2022-05-02 18:41:18,746:Búsqueda de puertos terminada
INFO:2022-05-02 18:48:07,978:Búsqueda de puertos iniciada
INFO:2022-05-02 18:48:08,943:Búsqueda de puertos terminada
INFO:2022-05-02 18:49:17,208:Búsqueda de puertos iniciada
INFO:2022-05-02 18:49:18,163:Búsqueda de puertos terminada
INFO:2022-05-02 18:49:33,616:Búsqueda de puertos iniciada
INFO:2022-05-02 18:49:34,581:Búsqueda de puertos terminada
INFO:2022-05-02 18:50:00,051:Búsqueda de puertos iniciada
INFO:2022-05-02 18:50:01,016:Búsqueda de puertos terminada
INFO:2022-05-02 18:52:52,780:Búsqueda de puertos iniciada
INFO:2022-05-02 18:52:53,735:Búsqueda de puertos terminada
INFO:2022-05-02 18:55:56,608:Búsqueda de puertos iniciada
INFO:2022-05-02 18:55:57,712:Búsqueda de puertos terminada
INFO:2022-05-02 19:01:37,240:Búsqueda de puertos iniciada
INFO:2022-05-02 19:01:38,283:Búsqueda de puertos terminada
INFO:2022-05-02 19:07:53,146:Búsqueda de puertos iniciada
INFO:2022-05-02 19:07:54,230:Búsqueda de puertos terminada
INFO:2022-05-02 19:08:02,610:Búsqueda de puertos iniciada
INFO:2022-05-02 19:08:03,629:Búsqueda de puertos terminada
INFO:2022-05-02 19:08:39,142:Búsqueda de puertos iniciada
INFO:2022-05-02 19:08:40,239:Búsqueda de puertos terminada
INFO:2022-05-02 19:12:12,101:Búsqueda de puertos iniciada
INFO:2022-05-02 19:12:13,152:Búsqueda de puertos terminada
INFO:2022-05-02 19:12:26,634:Búsqueda de puertos iniciada
INFO:2022-05-02 19:12:27,695:Búsqueda de puertos terminada
INFO:2022-05-02 19:12:53,346:Búsqueda de puertos iniciada
INFO:2022-05-02 19:12:54,814:Búsqueda de puertos terminada
INFO:2022-05-02 19:16:18,150:Búsqueda de puertos iniciada
INFO:2022-05-02 19:16:21,405:Búsqueda de puertos terminada
INFO:2022-05-02 19:18:58,821:Búsqueda de puertos iniciada
INFO:2022-05-02 19:19:02,032:Búsqueda de puertos terminada
INFO:2022-05-02 19:20:15,923:Búsqueda de puertos iniciada
INFO:2022-05-02 19:25:16,336:Búsqueda de puertos iniciada
INFO:2022-05-02 19:25:17,775:Búsqueda de puertos terminada
INFO:2022-05-02 19:25:49,888:Búsqueda de puertos iniciada
WARNING:2022-05-02 19:25:50,187:Error en búsqueda de puertos
INFO:2022-05-02 19:25:51,243:Búsqueda de puertos terminada
INFO:2022-05-02 19:27:15,517:Búsqueda de puertos iniciada
WARNING:2022-05-02 19:27:15,791:Error en búsqueda de puertos
INFO:2022-05-02 19:27:16,879:Búsqueda de puertos terminada
INFO:2022-05-02 19:28:09,333:Búsqueda de puertos iniciada
WARNING:2022-05-02 19:28:09,636:Error en búsqueda de puertos
WARNING:2022-05-02 19:28:09,946:Error en búsqueda de puertos
WARNING:2022-05-02 19:28:10,260:Error en búsqueda de puertos
WARNING:2022-05-02 19:28:10,568:Error en búsqueda de puertos
INFO:2022-05-02 19:28:10,568:Búsqueda de puertos terminada
INFO:2022-05-02 19:57:20,616:Búsqueda de puertos iniciada
WARNING:2022-05-02 19:57:20,931:Error en búsqueda de puertos
WARNING:2022-05-02 19:57:21,231:Error en búsqueda de puertos
WARNING:2022-05-02 19:57:21,530:Error en búsqueda de puertos
WARNING:2022-05-02 19:57:21,837:Error en búsqueda de puertos
INFO:2022-05-02 19:57:21,837:Búsqueda de puertos terminada
INFO:2022-05-02 19:57:32,401:Búsqueda de puertos iniciada
WARNING:2022-05-02 19:57:32,709:Error en búsqueda de puertos
WARNING:2022-05-02 19:57:33,018:Error en búsqueda de puertos
WARNING:2022-05-02 19:57:33,324:Error en búsqueda de puertos
WARNING:2022-05-02 19:57:33,621:Error en búsqueda de puertos
INFO:2022-05-02 19:57:33,622:Búsqueda de puertos terminada
INFO:2022-05-02 19:57:46,880:Búsqueda de puertos iniciada
WARNING:2022-05-02 19:57:47,188:Error en búsqueda de puertos
WARNING:2022-05-02 19:57:47,492:Error en búsqueda de puertos
WARNING:2022-05-02 19:57:47,791:Error en búsqueda de puertos
WARNING:2022-05-02 19:57:48,097:Error en búsqueda de puertos
INFO:2022-05-02 19:57:48,098:Búsqueda de puertos terminada
INFO:2022-05-02 19:58:50,134:Búsqueda de puertos iniciada
WARNING:2022-05-02 19:58:50,460:Error en búsqueda de puertos
INFO:2022-05-02 19:58:51,599:Búsqueda de puertos terminada
INFO:2022-05-02 19:59:23,431:Búsqueda de puertos iniciada
INFO:2022-05-02 19:59:24,950:Búsqueda de puertos terminada
INFO:2022-05-02 20:00:19,684:Búsqueda de puertos iniciada
INFO:2022-05-02 20:00:21,176:Búsqueda de puertos terminada
INFO:2022-05-02 20:05:19,785:Búsqueda de puertos iniciada
INFO:2022-05-02 20:05:38,076:Búsqueda de puertos iniciada
INFO:2022-05-02 20:05:45,289:Búsqueda de puertos terminada
INFO:2022-05-02 20:06:16,909:Búsqueda de puertos iniciada
INFO:2022-05-02 20:06:23,923:Búsqueda de puertos terminada
INFO:2022-05-02 20:08:42,424:Búsqueda de puertos iniciada
INFO:2022-05-02 20:08:49,331:Búsqueda de puertos terminada
INFO:2022-05-02 20:24:18,328:Búsqueda de puertos iniciada
INFO:2022-05-02 20:24:26,863:Búsqueda de puertos terminada
INFO:2022-05-02 20:28:02,671:Búsqueda de puertos iniciada
INFO:2022-05-02 20:28:32,150:Búsqueda de puertos terminada
INFO:2022-05-02 20:28:49,055:Búsqueda de puertos iniciada
INFO:2022-05-02 20:28:59,614:Búsqueda de puertos iniciada
INFO:2022-05-02 20:29:32,555:Búsqueda de puertos iniciada
INFO:2022-05-02 20:29:34,448:Búsqueda de puertos terminada
INFO:2022-05-02 20:30:04,682:Búsqueda de puertos iniciada
INFO:2022-05-02 20:30:06,417:Búsqueda de puertos terminada
INFO:2022-05-02 22:41:18,140:Búsqueda de imagenes iniciada
INFO:2022-05-06 08:13:29,549:Búsqueda de puertos iniciada
INFO:2022-05-06 08:13:31,641:Búsqueda de puertos terminada
INFO:2022-05-06 15:24:58,677:Análisis de urls iniciado
INFO:2022-05-06 15:25:13,943:Análisis de urls terminado
INFO:2022-05-06 15:25:51,523:Análisis de urls iniciado
INFO:2022-05-06 15:25:58,895:Análisis de urls iniciado
INFO:2022-05-06 15:26:54,987:Análisis de urls iniciado
INFO:2022-05-06 15:27:10,231:Análisis de urls terminado
INFO:2022-05-06 16:16:37,280:Búsqueda de metadatos iniciada
WARNING:2022-05-06 16:16:37,286:Error en búsqueda de metadatos
INFO:2022-05-06 16:22:50,339:Búsqueda de imagenes iniciada
INFO:2022-05-06 16:23:22,566:Búsqueda de imagenes iniciada
INFO:2022-05-06 16:23:22,695:Búsqueda de imagenes finalizada
INFO:2022-05-06 16:57:22,303:Búsqueda de puertos iniciada
INFO:2022-05-06 16:58:39,796:Búsqueda de puertos iniciada
INFO:2022-05-06 17:00:29,348:Búsqueda de puertos terminada
INFO:2022-05-06 17:02:43,056:Codificacion de imagen iniciada
INFO:2022-05-06 17:02:43,292:Codificacion de imagen finalizada
INFO:2022-05-06 17:03:27,756:Codificacion de imagen iniciada
INFO:2022-05-06 17:03:27,764:Codificacion de imagen finalizada
INFO:2022-05-06 17:12:07,350:Codificacion de imagen iniciada
INFO:2022-05-06 17:12:07,364:Codificacion de imagen finalizada
INFO:2022-05-06 17:12:33,701:Codificacion de imagen iniciada
INFO:2022-05-06 17:12:33,735:Codificacion de imagen finalizada
INFO:2022-05-06 17:28:02,150:Búsqueda de metadatos iniciada
WARNING:2022-05-06 17:28:02,155:Error en búsqueda de metadatos
INFO:2022-05-06 17:28:30,325:Búsqueda de metadatos iniciada
WARNING:2022-05-06 17:28:30,326:Error en búsqueda de metadatos
INFO:2022-05-06 17:40:46,962:Análisis de urls iniciado
INFO:2022-05-06 17:41:17,753:Análisis de urls terminado
INFO:2022-05-06 17:42:49,249:Búsqueda de imagenes iniciada
INFO:2022-05-06 17:51:15,075:Búsqueda de imagenes iniciada
WARNING:2022-05-06 17:51:15,078:Error en la URL ingresada
INFO:2022-05-06 17:51:38,845:Codificacion de imagen iniciada
INFO:2022-05-06 17:53:00,180:Codificacion de imagen iniciada
WARNING:2022-05-06 17:53:00,180:Error en path ingresado de la imagen
INFO:2022-05-06 17:54:27,362:Decodificacion de imagen iniciada
WARNING:2022-05-06 17:54:27,362:Error en path ingresado de la imagen
INFO:2022-05-06 17:56:13,081:Codificacion de imagen iniciada
INFO:2022-05-06 17:56:13,095:Codificacion de imagen finalizada
INFO:2022-05-06 17:56:25,927:Decodificacion de imagen iniciada
INFO:2022-05-06 17:56:25,937:Decodificacion de imagen finalizada
INFO:2022-05-06 18:02:37,645:Búsqueda de metadatos iniciada
WARNING:2022-05-06 18:02:37,645:Error en path ingresado para obtencion de datos de imagen
INFO:2022-05-06 18:02:59,084:Búsqueda de puertos iniciada
INFO:2022-05-06 18:04:02,310:Búsqueda de puertos iniciada
WARNING:2022-05-06 18:04:02,311:Error en path ingresado del txt con el numero de veces a repetir proceso
INFO:2022-05-06 18:04:35,582:Análisis de urls iniciado
INFO:2022-05-06 18:06:01,054:Análisis de urls iniciado
WARNING:2022-05-06 18:06:01,054:Error en path ingresado de las urls a escanear
INFO:2022-11-03 20:06:12,677:Búsqueda de imagenes iniciada
INFO:2022-11-03 20:06:59,027:Búsqueda de imagenes finalizada
INFO:2022-11-03 20:08:47,903:Búsqueda de imagenes iniciada
INFO:2022-11-03 20:09:40,753:Búsqueda de imagenes finalizada
INFO:2022-11-03 20:10:35,869:Codificacion de imagen iniciada
WARNING:2022-11-03 20:10:35,869:Error en path ingresado de la imagen
